"","city","state","city_size","mode","n","percent","moe","state_abb","state_region"
"1664","Dallas city","Texas","Large","Bike",821,0.1,0.1,"TX","South"
"1665","Denver city","Colorado","Large","Bike",7019,2.3,0.2,"CO","West"
"1666","Des Moines city","Iowa","Large","Bike",431,0.4,0.1,"IA","North Central"
"1667","Detroit city","Michigan","Large","Bike",655,0.3,0.1,"MI","North Central"
"1668","Durham city","North Carolina","Large","Bike",971,0.9,0.2,"NC","South"
"1669","El Paso city","Texas","Large","Bike",413,0.2,0.1,"TX","South"
"1670","Fayetteville city","North Carolina","Large","Bike",190,0.2,0.1,"NC","South"
"1671","Fontana city","California","Large","Bike",154,0.2,0.1,"CA","West"
"1672","Fort Wayne city","Indiana","Large","Bike",382,0.3,0.1,"IN","North Central"
"1673","Fort Worth city","Texas","Large","Bike",488,0.1,0.1,"TX","South"
"1674","Fremont city","California","Large","Bike",371,0.4,0.2,"CA","West"
"1675","Fresno city","California","Large","Bike",1533,0.8,0.2,"CA","West"
"1676","Garland city","Texas","Large","Bike",77,0.1,0.1,"TX","South"
"1677","Gilbert town","Arizona","Large","Bike",360,0.4,0.1,"AZ","West"
"1678","Glendale city","Arizona","Large","Bike",778,0.8,0.3,"AZ","West"
"1679","Greensboro city","North Carolina","Large","Bike",351,0.3,0.1,"NC","South"
"1680","Henderson city","Nevada","Large","Bike",186,0.2,0.1,"NV","West"
"1681","Hialeah city","Florida","Large","Bike",171,0.2,0.1,"FL","South"
"1682","Houston city","Texas","Large","Bike",4220,0.4,0.1,"TX","South"
"1683","Indianapolis city (balance)","Indiana","Large","Bike",1617,0.4,0.1,"IN","North Central"
"1684","Irvine city","California","Large","Bike",1769,1.7,0.3,"CA","West"
"1685","Irving city","Texas","Large","Bike",174,0.2,0.1,"TX","South"
"1686","Jacksonville city","Florida","Large","Bike",1676,0.4,0.1,"FL","South"
"1687","Jersey City city","New Jersey","Large","Bike",582,0.5,0.2,"NJ","Northeast"
"1688","Kansas City city","Missouri","Large","Bike",649,0.3,0.1,"MO","North Central"
"1689","Laredo city","Texas","Large","Bike",43,0,0.1,"TX","South"
"1690","Las Vegas city","Nevada","Large","Bike",1052,0.4,0.1,"NV","West"
"1691","Lexington-Fayette urban county","Kentucky","Large","Bike",1286,0.9,0.2,"KY","South"
"1692","Lincoln city","Nebraska","Large","Bike",2127,1.5,0.2,"NE","North Central"
"1693","Long Beach city","California","Large","Bike",2217,1.1,0.2,"CA","West"
"1694","Los Angeles city","California","Large","Bike",17244,1,0.1,"CA","West"
"1695","Lubbock city","Texas","Large","Bike",539,0.5,0.2,"TX","South"
"1696","Madison city","Wisconsin","Large","Bike",6793,5.1,0.5,"WI","North Central"
"1697","Memphis city","Tennessee","Large","Bike",441,0.2,0.1,"TN","South"
"1698","Mesa city","Arizona","Large","Bike",1802,0.9,0.2,"AZ","West"
"1699","Miami city","Florida","Large","Bike",1237,0.7,0.2,"FL","South"
"1700","Milwaukee city","Wisconsin","Large","Bike",2151,0.8,0.1,"WI","North Central"
"1701","Minneapolis city","Minnesota","Large","Bike",8334,4.1,0.3,"MN","North Central"
"1702","Modesto city","California","Large","Bike",661,0.8,0.3,"CA","West"
"1703","Montgomery city","Alabama","Large","Bike",187,0.2,0.1,"AL","South"
"1704","New Orleans city","Louisiana","Large","Bike",3135,2.1,0.2,"LA","South"
"1705","New York city","New York","Large","Bike",28458,0.8,0.1,"NY","Northeast"
"1706","Newark city","New Jersey","Large","Bike",251,0.2,0.1,"NJ","Northeast"
